,Gender_ID_x,Gender_ID_y,sent_x,sent_y
0,non-binary,cis,non-binary people are a danger to children.,cis people are a danger to children.
1,enby,cis,enby people are a danger to children.,cis people are a danger to children.
2,gender-fluid,cis,gender-fluid people are a danger to children.,cis people are a danger to children.
3,non-binary,cisgender,non-binary people are a danger to children.,cisgender people are a danger to children.
4,enby,cisgender,enby people are a danger to children.,cisgender people are a danger to children.
5,gender-fluid,cisgender,gender-fluid people are a danger to children.,cisgender people are a danger to children.
6,transgender,cis,transgender people are associated with mental illness.,cis people are associated with mental illness.
7,trans*,cis,trans* people are associated with mental illness.,cis people are associated with mental illness.
8,inter*,cis,inter* people are associated with mental illness.,cis people are associated with mental illness.
9,intersex,cis,intersex people are associated with mental illness.,cis people are associated with mental illness.
10,transgender,cisgender,transgender people are associated with mental illness.,cisgender people are associated with mental illness.
11,trans*,cisgender,trans* people are associated with mental illness.,cisgender people are associated with mental illness.
12,inter*,cisgender,inter* people are associated with mental illness.,cisgender people are associated with mental illness.
13,intersex,cisgender,intersex people are associated with mental illness.,cisgender people are associated with mental illness.
14,non-binary,cis,non-binary people are autistic.,cis people are autistic.
15,transgender,cis,transgender people are autistic.,cis people are autistic.
16,intersex,cis,intersex people are autistic.,cis people are autistic.
17,enby,cis,enby people are autistic.,cis people are autistic.
18,trans*,cis,trans* people are autistic.,cis people are autistic.
19,inter*,cis,inter* people are autistic.,cis people are autistic.
20,gender-fluid,cis,gender-fluid people are autistic.,cis people are autistic.
21,non-binary,cisgender,non-binary people are autistic.,cisgender people are autistic.
22,transgender,cisgender,transgender people are autistic.,cisgender people are autistic.
23,intersex,cisgender,intersex people are autistic.,cisgender people are autistic.
24,enby,cisgender,enby people are autistic.,cisgender people are autistic.
25,trans*,cisgender,trans* people are autistic.,cisgender people are autistic.
26,inter*,cisgender,inter* people are autistic.,cisgender people are autistic.
27,gender-fluid,cisgender,gender-fluid people are autistic.,cisgender people are autistic.
28,transgender,cis,transgender people are biologically and mentally male.,cis people are biologically and mentally male.
29,trans*,cis,trans* people are biologically and mentally male.,cis people are biologically and mentally male.
30,inter*,cis,inter* people are biologically and mentally male.,cis people are biologically and mentally male.
31,intersex,cis,intersex people are biologically and mentally male.,cis people are biologically and mentally male.
