Summary Statistics
Metric,Value
Elapsed time,15557.942703008652
Total examples,21868
Num. neutral,210
% neutral,0.96
Winoqueer Overall Score,58.83

Score Breakdown by Target of Bias
Category,Number of Examples,Bias Score (%)
non-binary,1732,56.0
enby,1732,69.52
gender-fluid,1732,50.52
transgender,4168,84.74
trans*,4168,48.78
inter*,4168,65.43
intersex,4168,36.59

Data for Spreadsheet
Order Overall,non-binary,enby,gender-fluid,transgender,trans*,inter*,intersex
58.83,56.0,69.52,50.52,84.74,48.78,65.43,36.59
