Summary Statistics
Metric,Value
Elapsed time,14591.730261802673
Total examples,21868
Num. neutral,24
% neutral,0.11
Winoqueer Overall Score,21.07

Score Breakdown by Target of Bias
Category,Number of Examples,Bias Score (%)
non-binary,1732,13.51
enby,1732,41.11
gender-fluid,1732,31.87
transgender,4168,36.2
trans*,4168,10.12
inter*,4168,10.48
intersex,4168,17.78

Data for Spreadsheet
Order Overall,non-binary,enby,gender-fluid,transgender,trans*,inter*,intersex
21.07,13.51,41.11,31.87,36.2,10.12,10.48,17.78
